day,arm,period,universe,ticks,trades,gross_pnl,modeled_cost,net_pnl,net_pct,equity_start,equity_end,halted,day_stop,session_close
2026-03-11,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,42.8635,42.8635,False,False,16:00
2026-03-12,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.1534,0.0213,-0.1747,-0.3576,42.8635,42.7102,False,False,16:00
2026-03-13,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,42.7102,42.7102,False,False,16:00
2026-03-16,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.4227,0.0425,-0.4652,-0.9897,42.7102,42.2875,False,False,16:00
2026-03-17,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.013,0.0424,-0.0294,0.0307,42.2875,42.3005,False,False,16:00
2026-03-18,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.274,0.021,-0.295,-0.6477,42.3005,42.0265,False,False,16:00
2026-03-19,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.0119,0.042,-0.0301,0.0283,42.0265,42.0384,False,False,16:00
2026-03-20,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,42.0384,42.0384,False,False,16:00
2026-03-23,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,3,-0.3666,0.0626,-0.4292,-0.8718,42.0384,41.6719,False,False,16:00
2026-03-24,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.154,0.0416,-0.1956,-0.3696,41.6719,41.5179,False,False,16:00
2026-03-25,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.2016,0.0207,-0.2223,-0.4856,41.5179,41.3163,False,False,16:00
2026-03-26,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.322,0.0411,-0.3631,-0.5949,41.3163,41.0705,True,False,16:00
2026-03-27,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,40.9943,40.9943,False,False,16:00
2026-03-30,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,3,-0.7646,0.0607,-0.8253,-1.8651,40.9943,40.2297,False,False,16:00
2026-03-31,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.7709,0.0407,0.7302,1.9162,40.2297,41.0006,False,False,16:00
2026-04-01,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.0519,0.0411,0.0108,0.1263,41.0006,41.0524,False,False,16:00
2026-04-02,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.2346,0.0413,0.1933,0.5715,41.0524,41.287,False,False,16:00
2026-04-06,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.1916,0.0205,-0.2121,-0.4641,41.287,41.0954,False,False,16:00
2026-04-07,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.0378,0.0206,-0.0584,-0.0922,41.0954,41.0575,False,False,16:00
2026-04-08,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.5607,0.0407,-0.6014,-1.3656,41.0575,40.4968,False,False,16:00
2026-04-09,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.5065,0.0407,0.4658,1.2507,40.4968,41.0033,False,False,16:00
2026-04-10,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.1171,0.041,-0.1581,-0.2858,41.0033,40.8861,False,False,16:00
2026-04-13,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.2424,0.041,0.2014,0.5929,40.8861,41.1285,False,False,16:00
2026-04-14,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.2679,0.0413,0.2266,0.6514,41.1285,41.3964,False,False,16:00
2026-04-15,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,1.3788,0.042,1.3368,3.331,41.3964,42.7753,False,False,16:00
2026-04-16,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.0359,0.0428,-0.0069,0.0839,42.7753,42.8112,False,False,16:00
